serial_number;comment
13453540;Д=80 мм, Qмном=123т/ч, t изм.ср= -100...204⁰, Рмах=4 МПа
13453002;Д=80 мм, Qмном=123т/ч, t изм.ср= -100...204⁰, Рмах=4 МПа
2101300;DN=65
160149;Д=50мм
160148;Д=50мм
160147;Д=50мм
160145;Д=50мм
160144;Д=50мм
160143;Д=50мм
160131;"-60..300°С ; 1,6МПа"
160130;"-60..300°С ; 1,6МПа"
160129;"-60..300°С ; 1,6МПа"
160128;"-60..300°С ; 1,6МПа"
160076;Д=50мм
160074;Д=50мм
160037;-60...70⁰С, Рмах=1,6МПа
160036;-60...70⁰С, Рмах=1,6МПа
160035;-60...70⁰С, Рмах=1,6МПа
35474;жидкость - от 0,3 до 2680 м.куб/ч                газ -3,2…20000 м.куб/ч
31859;1,8...480 м3/час
31858;1,8...480 м3/час
31857;1,8...480 м3/час
31856;1,8...480 м3/час
31475;жидкость - от 0,3 до 2680 м.куб/ч                газ -3,2…20000 м.куб/ч
31474;жидкость - от 0,3 до 2680 м.куб/ч                газ -3,2…20000 м.куб/ч
10201;комплектно с датчиком ДУУ2М
10200;комплектно с датчиком ДУУ2М
10196;комплектно с датчиком ДУУ2М
10195;комплектно с датчиком ДУУ2М
10184;комплектно с датчиком ДУУ2М
10175;комплектно с датчиком ДУУ2М
9543;Д=80 мм
9525;Д=80 мм
9524;Д=80 мм
9083;Д=50 мм
7900;Д=25мм.  
7529;Д=50 мм
7528;Д=50 мм
7526;Д=50 мм
7525;Д=50мм
7524;Д=50мм
7523;Д=50мм
7198;Д=65 мм
7197;Д=65 мм
6915;0.3...28.9 м3/ч
6914;Д=32мм.  0.3...28.9 м3/ч
6913;Д=32мм.  0.3...28.9 м3/ч
6912;Д=32мм.  0.3...28.9 м3/ч
6911;Д=32мм.  0.3...28.9 м3/ч
6910;Д=200 мм   11.3...1130 м3/ч
6909;11.3...1130 м3/ч
6908;Д=200 мм   11.3...1130 м3/ч
6816;Д=50 мм.  0,71-71 м3/ч
6810;Д=50 мм.  0,71-71 м3/ч
6805;Д=50 мм.  0,71-71 м3/ч
6804;Д=50 мм.  0,71-71 м3/ч
6766;Д=50 мм.  0,71-71 м3/ч
6765;Д=50 мм.  0,71-71 м3/ч
6708;Д=100мм
6707;Д=100мм
6706;Д=100мм
6431;Д=100мм                                                                 2,8…283 м3/ч
6429;Д=100мм                                                                 2,8…283 м3/ч
6408;Д=100мм                                                                 2,8…283 м3/ч
6407;Д=100мм                                                                 2,8…283 м3/ч
5659;Д=100 мм
5628;Д=100 мм
5627;Д=100 мм
5626;Д=40 мм
5625;Д=40 мм
5624;Д=40 мм
4565;Д=80 мм
4564;Д=80 мм
4560;Д=80 мм
4559;Д=25 мм
4558;Д=25 мм
4557;Д=25 мм
4553;Д=80 мм
4552;Д=80 мм
4551;Д=80 мм
3697;Д=100 мм
3690;Д=100мм
3685;Д=100мм
3684;Д=100мм
3682;Д=100 мм
3674;Д=25 мм
3673;Д=25 мм
3671;Д=25 мм
3665;Д=100 мм
210404506;ДП-019 №210610676,  ЭПУ №21081290
201201084;ДП-019 №210110468,  ЭПУ №21051191
21090394;ДП-019 №210404504,  ЭПУ №21081288
210304349;ДП-019 №210210601, ДИ №210324870, ТПТ 1-4 100П №16081
210404523;ДП-019 №210610686,  ЭПУ №21081289
210210603;ДП-019 №210210603,  ЭПУ №21061249
210304266;ДП-019 №210110502,  ЭПУ №21041144
220105236;ДП-019 №220111084,  ДИ №220126374
220105300;ДП-019 №220111405, ДИ №220125376, ТПТ 1-4 100П №3863
220105299;ДП-019 №220111223, ДИ №220125491, ТПТ 1-4 100П №3862
220105298;ДП-019 №220111225, ДИ №220126371, ТПТ 1-4 100П №3867
210403399;ДП-019 №210414862, ЭПУ №21061248
0K016519;УОК 206
0K016517;УОК 206
0K016518;УОК 206
0K016506;УОК 206
210304300;ДП-019 №210210623, ДИ №210324876, ТПТ 1-4 100П №16126
210604645;ДП-019 №210410808, ДИ №210625240, ТПТ 1-4 100П №16058
210604613;ДП-019 №210510861, ДИ №210725430, ТПТ 1-4 100П №19736
210604695;ДП-019 №210510873, ДИ №210625341, ТПТ 1-4 100П №19730
210704707;ДП-019 №210510871, ДИ №210625340, ТПТ 1-4 100П №19732
