number;construction
ГП311;Канализационная насосная станция дождевых сточных вод
ГП312;Блочно-комплектная трансформаторная подстанция 2БКТПА 1600/10/0,4 УХЛ1
ГП313;Блок-бокс дизельной электростанции АДЭС 1600кВт
ГП313а;Емкость подземная дренажная V=3 м3
ГП315;Здание стоянки автотранспорта
ГП450;Здание пожарного депо на 4 автомобиля
ГП450а;Резервуар противопожарного запаса воды V=50 м3
ГП450б;Полоса препятствий
ГП450в;Учебная пожарная башня
ГП450г;Тренировочная полоса с предохранительными подушками
ГП450д;Дымокамера
КГС 201;Куст газовых скважин №201
КГС 202;Куст газовых скважин №202
КГС 203;Куст газовых скважин №203
КГС 204;Куст газовых скважин №204
КГС 205;Куст газовых скважин №205
КГС 206;Куст газовых скважин №206
КГС 207;Куст газовых скважин №207
КГС 208;Куст газовых скважин №208
КГС 209;Куст газовых скважин №209
КОС;КОС. Комплекс термического обезвреживания жидких стоков
КОС-7;КОС. Блочно-комплектная трансформаторная подстанция 2БКТПА-1600/10/0,4-УХЛ1
КОС-9;КОС. Блок-бокс дизельной электростанции АДЭС-1600 кВт
УОК-3-2.2;Узел охранного крана УОК-3-2.2
КП УЗПОУ;Конденцатопровод УЗПОУ
УОК 204;Узел охранного крана УОК 204
