name;type;manufacturer;serial_number;model;poz;location;tag
Эл. привод;РэмТэк;ООО НПП ТЭК;211166;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 202;скв-3;Кр 3\3
Эл. привод;РэмТэк;ООО НПП ТЭК;21160;М.300.60.Б.8100.S.15.3.УХЛ1;КГС 202;скв-3;Зд 1\3
Эл. привод;РэмТэк;ООО НПП ТЭК;211299;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 202;скв-4;Кш 8.4
Эл. привод;РэмТэк;ООО НПП ТЭК;211318;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 202;скв-4;Кш 9.4
Эл. привод;РэмТэк;ООО НПП ТЭК;211168;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 202;скв-4;Кр 3\4
Эл. привод;РэмТэк;ООО НПП ТЭК;211009;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 202;скв-4;Зд 1\4
Эл. привод;РэмТэк;ООО НПП ТЭК;211312;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 202;скв-1;Кш 9.1
Эл. привод;РэмТэк;ООО НПП ТЭК;211106;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 202;скв-1;Кш 8.1
Эл. привод;РэмТэк;ООО НПП ТЭК;211180;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 202;скв-1;Кр 3\1
Эл. привод;РэмТэк;ООО НПП ТЭК;211004;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 202;скв-1;Зд 1\1
Эл. привод;РэмТэк;ООО НПП ТЭК;211303;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 202;скв-2;Кш 8.2
Эл. привод;РэмТэк;ООО НПП ТЭК;211313;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 202;скв-2;Кш 9.2
Эл. привод;РэмТэк;ООО НПП ТЭК;211267;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 202;скв-2;Кр 3\2
Эл. привод;РэмТэк;ООО НПП ТЭК;211006;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 202;скв-2;Зд 1\2
Эл. привод;РэмТэк;ООО НПП ТЭК;212325;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 202;КШМ;КШМ
Эл. привод;РэмТэк;ООО НПП ТЭК;211176;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 203;скв-5;Кш 8.5
Эл. привод;РэмТэк;ООО НПП ТЭК;211178;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 203;скв-5;Кш 9.5
Эл. привод;РэмТэк;ООО НПП ТЭК;211173;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 203;скв-5;Кр 3\5
Эл. привод;РэмТэк;ООО НПП ТЭК;211008;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 203;скв-5;Зд 1\5
Эл. привод;РэмТэк;ООО НПП ТЭК;211306;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 203;скв-6;Кш 9.6
Эл. привод;РэмТэк;ООО НПП ТЭК;211104;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 203;скв-6;Кш 8.6
Эл. привод;РэмТэк;ООО НПП ТЭК;211170;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 203;скв-6;Кр 3\6
Эл. привод;РэмТэк;ООО НПП ТЭК;211014;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 203;скв-6;Зд 1\6
Эл. привод;РэмТэк;ООО НПП ТЭК;21246;П.250.4.60.8100.V.15.3.УХЛ1;КГС 203;скв-3;Кш 8.3
Эл. привод;РэмТэк;ООО НПП ТЭК;212244;П.250.4.60.8100.V.15.3.УХЛ1;КГС 203;скв-3;Кш 9.3
Эл. привод;РэмТэк;ООО НПП ТЭК;21099;Л.18000.4.100.298.8100.V.16.3.УХЛ1;КГС 203;скв-3;Кр 3\3
Эл. привод;РэмТэк;ООО НПП ТЭК;211554;М.300.60.10.8100.S.15.3.УХЛ1;КГС 203;скв-3;Зд 1\3
