position;location;teg;type;model;name;reg_number;serial_number;year;min_scale;unit;max_scale;comment;interval;previous_verification;result;certificate
куст 206;МОС3;КГС;Метран;150TG;Преобразователь давления;32854-13;none;2021;0;Па;4;куст 206;60;01.01.1990;Годен;Отсутствует заводской номер
куст 205;МОС1;КГС;WIKA;232.30; Манометры деформационные с трубчатой пружиной серии;55984-13;89726GK8;2021;0;Па;25;куст 205;24;16.01.2023;Годен;С-ГХЮ/16-01-2023/222154056
куст 205;МОС2;КГС;WIKA;232.30; Манометры деформационные с трубчатой пружиной серии;55984-13;89726GK8;2021;0;Па;25;куст 205;24;16.01.2023;Годен;С-ГХЮ/16-01-2023/222154056
куст 205;Линия факела;КГС;МП;4-УУХЛ1; Манометры избыточного давления, вакуумметры и мановакуумметры показывающие;10135-15;212001501;2021;0;Па;10;куст 205;24;16.01.2023;Годен;С-ГХЮ/16-01-2023/222154094
куст 206;Коллектор метанола;КГС; ГиперФлоу;3Пм; Датчики комплексные с вычислителем расхода;15646-19;21090394;2021;4244;м^(3)/ч;37562;ДП-019 №210404504,  ЭПУ №21081288;24;01.01.1990;Годен;Нет данных
куст 206;МОС1;КГС; ГиперФлоу;3Пм; Датчики комплексные с вычислителем расхода;15646-19;21041650;2021;4244;м^(3)/ч;37562;куст 206, скважина №2;24;01.01.1990;Годен;Нет данных
куст 206;МОС2;КГС; ГиперФлоу;3Пм; Датчики комплексные с вычислителем расхода;15646-19;21051655;2021;4244;м^(3)/ч;37562;куст 206, скважина №4;24;01.01.1990;Годен;Нет данных
куст 206;МОС3;КГС; ГиперФлоу;3Пм; Датчики комплексные с вычислителем расхода;15646-19;210504574;2021;4244;м^(3)/ч;37562;куст 206, скважина 7;24;01.01.1990;Годен;Нет данных
куст 206;МОС3;КГС; ГиперФлоу;3Пм; Датчики комплексные с вычислителем расхода;15646-19;21051654;2021;4244;м^(3)/ч;37562;куст 206, скважина №5;24;01.01.1990;Годен;Нет данных
куст 206;МОС3;КГС; ГиперФлоу;3Пм; Датчики комплексные с вычислителем расхода;15646-19;21051656;2021;4244;м^(3)/ч;37562;куст 206, скважина №6;24;01.01.1990;Годен;Нет данных
куст 206;МОС3;КГС; ГиперФлоу;3Пм; Датчики комплексные с вычислителем расхода;15646-19;21041643;2021;4244;м^(3)/ч;37562;куст 206, скважина №7;24;01.01.1990;Годен;Нет данных
куст 204;Линия факела;КГС; ГиперФлоу;3Пм; Датчики комплексные с вычислителем расхода;15646-19;210304349;2021;4244;м^(3)/ч;37562;ДП-019 №210210601, ДИ №210324870, ТПТ 1-4 100П №16081;24;01.01.1990;Годен;Нет данных
куст 204;СПИ факела;КГС; ГиперФлоу;3Пм; Датчики комплексные с вычислителем расхода;15646-19;210404523;2021;4244;м^(3)/ч;37562;ДП-019 №210610686,  ЭПУ №21081289;24;01.01.1990;Годен;Нет данных
куст 204;МОС1;КГС;ПМП;ПМП-152;Преобразователь магнитный поплавковый;none;153686;2021;0,15;м^(3)/ч;6;куст 204;0;01.01.1990;Годен;Не поверяется
куст 204;МОС2;КГС;ПМП;ПМП-152;Преобразователь магнитный поплавковый;none;153687;2021;0,15;м^(3)/ч;6;куст 204;0;01.01.1990;Годен;Не поверяется
куст 204;Скважина №1;КГС; ГиперФлоу;3Пм; Датчики комплексные с вычислителем расхода;15646-19;210210603;2021;4244;м^(3)/ч;37562;ДП-019 №210210603,  ЭПУ №21061249;24;01.01.1990;Годен;Нет данных
куст 209;МОС1;КГС;ПМП;ПМП-152;Преобразователь магнитный поплавковый;none;153682;2021;0,15;м^(3)/ч;6;куст 209;0;01.01.1990;Годен;Не поверяется
куст 209;МОС2;КГС;ПМП;ПМП-152;Преобразователь магнитный поплавковый;none;153689;2021;0,15;м^(3)/ч;6;куст 209;0;01.01.1990;Годен;Не поверяется
куст 207;Скважина №7;КГС; ГиперФлоу;3Пм; Датчики комплексные с вычислителем расхода;15646-19;210304266;2021;4244;м^(3)/ч;37562;ДП-019 №210110502,  ЭПУ №21041144;24;01.01.1990;Годен;Нет данных
куст 207;МОС3;КГС;WIKA;233.50; Манометры деформационные с трубчатой пружиной;55984-13;89726CYM;2021;0;Па;4;куст 207;24;01.01.1990;Годен;Нет данных
куст 201;МОС1;КГС;ПМП;ПМП-152;Преобразователь магнитный поплавковый;none;153695;2021;0,15;м^(3)/ч;6;куст 201;0;01.01.1990;Годен;Не поверяется
куст 201;МОС2;КГС;ПМП;ПМП-152;Преобразователь магнитный поплавковый;none;153685;2021;0,15;м^(3)/ч;6;куст 201;0;01.01.1990;Годен;Не поверяется
куст 201;МОС3;КГС;ПМП;ПМП-152;Преобразователь магнитный поплавковый;none;153691;2021;0,15;м^(3)/ч;6;куст 201;0;01.01.1990;Годен;Не поверяется
куст 201;Скважина №4;КГС;WIKA;233.50; Манометры деформационные с трубчатой пружиной;55984-13;8972Q3N;2021;0;Па;40;куст 201;24;01.01.1990;Годен;Нет данных
куст 202;МОС1;КГС;ПМП;ПМП-152;Преобразователь магнитный поплавковый;none;153693;2021;0,15;м^(3)/ч;6;куст 202;0;01.01.1990;Годен;Не поверяется
куст 202;МОС2;КГС;ПМП;ПМП-152;Преобразователь магнитный поплавковый;none;153688;2021;0,15;м^(3)/ч;6;куст 202;0;01.01.1990;Годен;Не поверяется
