position;location;teg;type;model;name;reg_number;serial_number;year;min_scale;unit;max_scale;comment;interval;previous_verification;result;certificate
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210046454;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192456123
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210046450;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192455942
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210046418;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192456058
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210046416;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192455934
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210045824;2021;0;А;25;БКТП;24;13.10.2022;Годен;С-БП/13-10-2022/192931201
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210045823;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192456231
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210045822;2021;0;А;25;БКТП;24;13.10.2022;Годен;С-БП/13-10-2022/192931198
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210045820;2021;0;А;25;БКТП;24;13.10.2022;Годен;С-БП/13-10-2022/192931202
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210045805;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192456127
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210045742;2021;0;А;25;БКТП;24;13.10.2022;Годен;С-БП/13-10-2022/192931426
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210045731;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192456045
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210045672;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192456060
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210045671;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192456059
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210045514;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192456230
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210045510;2021;0;А;25;БКТП;24;13.10.2022;Годен;С-БП/13-10-2022/192931199
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210045122;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192931502
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210044697;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192456153
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210044695;2021;0;А;25;БКТП;24;13.10.2022;Годен;С-БП/13-10-2022/192931442
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210044345;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192455944
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210044343;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192455965
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210044342;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192455937
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210044313;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192455941
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210044143;2021;0;А;25;БКТП;24;13.10.2022;Годен;С-БП/13-10-2022/192931203
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210044109;2021;0;А;25;БКТП;24;13.10.2022;Годен;С-БП/13-10-2022/192931196
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210043852;2021;0;А;25;БКТП;24;13.10.2022;Годен;С-БП/13-10-2022/192931200
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210043849;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192456232
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210043845;2021;0;А;25;БКТП;24;13.10.2022;Годен;С-БП/13-10-2022/192931195
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210043731;2021;0;А;25;БКТП;24;13.10.2022;Годен;С-БП/13-10-2022/192931183
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210043649;2021;0;А;25;БКТП;24;13.10.2022;Годен;С-БП/13-10-2022/192931197
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210043590;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192455945
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210043474;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192456042
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210042912;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192456234
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210042862;2021;0;А;25;БКТП;24;12.10.2022;Годен;С-БП/12-10-2022/192456044
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037739;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120306
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037726;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120035
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037720;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120038
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037719;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120179
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037717;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120312
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037715;2021;0;А;25;БКТП;24;13.10.2022;Годен;С-БП/13-10-2022/192931421
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037713;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120289
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037711;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120031
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037710;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120633
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037709;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120308
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037700;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120032
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037697;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120030
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037693;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192363252
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037691;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120026
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037685;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120296
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037683;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120028
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037679;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120287
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037675;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120304
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037673;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192363251
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037672;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120634
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037669;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120029
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037668;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192363255
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037667;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192363250
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210037662;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120636
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210036616;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120632
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210036586;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120284
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210036580;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120298
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210036571;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120040
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210036570;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120282
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210036569;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120302
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210036566;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120295
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210036565;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192363254
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210036563;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120033
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210036560;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120178
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210036559;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120640
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210036558;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120285
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210036530;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120314
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210036527;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192363249
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210036524;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120635
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210035284;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120631
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210035280;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120630
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210034473;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120300
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210034471;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120629
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210034469;2021;0;А;25;БКТП;24;11.10.2022;Годен;С-БП/11-10-2022/192120628
БКТП;;; Ц42,Э42;none;Микроамперметры, миллиамперметры, амперметры и вольметры щитовые;69582-17;210032870;2021;0;А;25;БКТП;24;13.10.2022;Годен;С-БП/13-10-2022/192931422
