position;location;teg;type;model;name;reg_number;serial_number;year;min_scale;unit;max_scale;comment;interval;previous_verification;result;certificate
куст 204;Скважина №2;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0646838;2022;0;Па;40;куст 204;24;26.09.2022;Годен; С-ДЛЮ/26-09-2022/188850837
куст 204;Скважина №2;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0646898;2022;0;Па;40;куст 204;24;26.09.2022;Годен;С-ДЛЮ/26-09-2022/188850832 
куст 204;Скважина №2;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0643085;2022;0;Па;40;куст 204;24;26.09.2022;Годен;С-ДЛЮ/26-09-2022/188850829
куст 204;Скважина №2;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0643088;2022;0;Па;40;куст 204;24;26.09.2022;Годен; С-ДЛЮ/26-09-2022/188850823
куст 204;Скважина №2;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0643074;2022;0;Па;40;куст 204;24;26.09.2022;Годен; С-ДЛЮ/26-09-2022/188850834
куст 204;Скважина №1;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0273207;2022;0;Па;25;куст 204;24;05.03.2023;Годен;С-ГХЮ/05-03-2023/234984102 
куст 204;Скважина №1;КГС;МП;4-У; Манометры избыточного давления, вакуумметры и мановакуумметры показывающие;10135-15;2083910;2020;0;Па;40;куст 204;24;05.03.2023;Годен;С-ГХЮ/05-03-2023/234984106 
куст 204;Скважина №1;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0643133;2022;0;Па;40;куст 204;24;19.06.2023;Годен;С-ГХЮ/19-06-2023/255520977 
куст 204;Скважина №1;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0642971;2022;0;Па;40;куст 204;24;05.03.2023;Годен; С-ГХЮ/05-03-2023/234984103
куст 204;Скважина №1;КГС;МП;4-Уф БС УХЛ1; Манометры, вакуумметры, мановакуумметры, напоромеры, тягомеры и тягонапоромеры;60168-15;813912;2022;0;Па;40;куст 204;24;05.03.2023;Годен;С-ГХЮ/05-03-2023/234984097
куст 204;Скважина №1;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0643292;2022;0;Па;40;куст 204;24;05.03.2023;Годен; С-ГХЮ/05-03-2023/234984100 
куст 203;Коллектор метанола;КГС;МП;4-У; Манометры избыточного давления, вакуумметры и мановакуумметры показывающие;10135-15;212003844;2021;0;Па;40;куст 203;24;30.11.2022;Годен;С-ГХЮ/30-11-2022/219134100
куст 203;Коллектор газа;КГС;МП;4-У; Манометры избыточного давления, вакуумметры и мановакуумметры показывающие;10135-15;222001378;2022;0;Па;25;куст 203;24;30.11.2022;Годен;С-ГХЮ/30-11-2022/219134031
куст 203;Коллектор газа;КГС;МП;4-У; Манометры избыточного давления, вакуумметры и мановакуумметры показывающие;10135-15;212001937;2021;0;Па;25;куст 203;24;30.11.2022;Годен;С-ГХЮ/30-11-2022/219134030
куст 203;Линия факела;КГС;МП;4-У; Манометры избыточного давления, вакуумметры и мановакуумметры показывающие;10135-15;212001730;2021;0;Па;25;куст 203;24;30.11.2022;Годен;С-ГХЮ/30-11-2022/219134101
куст 203;Линия факела;КГС;МП;4-У; Манометры избыточного давления, вакуумметры и мановакуумметры показывающие;10135-15;222001389;2022;0;Па;10;куст 203;24;30.11.2022;Годен;С-ГХЮ/30-11-2022/219134104
куст 203;Линия факела;КГС;МП;4-У; Манометры избыточного давления, вакуумметры и мановакуумметры показывающие;10135-15;222001377;2022;0;Па;25;куст 203;24;30.11.2022;Годен;С-ГХЮ/30-11-2022/219134102
куст 203;Скважина №6;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0273085;2022;0;Па;25;куст 203;24;13.08.2023;Годен;С-ГХЮ/13-08-2023/270414423 
куст 203;Скважина №6;КГС;МП;4-Уф БС УХЛ1; Манометры, вакуумметры, мановакуумметры, напоромеры, тягомеры и тягонапоромеры;60168-15;735417285A17;2023;0;Па;40;куст 203;24;07.12.2023;Годен; С-ГГИ/07-12-2023/304098869
куст 203;Скважина №5;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0646997;2022;0;Па;40;куст 203;24;26.09.2022;Годен; С-ДЛЮ/26-09-2022/188850814 
куст 203;Скважина №5;КГС;ДМ;ДМ8008-Вуф;Манометры, вакуумметры, мановакуумметры, напоромеры, тягомеры и тягонапоромеры;60168-15;230206053B39;2023;0;Па;40;куст 203;24;07.08.2023;Годен;С-ГГИ/07-08-2023/273892470
куст 203;Скважина №5;КГС;МП;4-Уф БС УХЛ1; Манометры, вакуумметры, мановакуумметры, напоромеры, тягомеры и тягонапоромеры;60168-15;313334;2022;0;Па;40;куст 203;24;27.03.2024;Годен;С-ВЗ/27-03-2024/326944968 
куст 203;Скважина №5;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0643053;2022;0;Па;40;куст 203;24;26.09.2022;Годен;С-ДЛЮ/26-09-2022/188850839 
куст 203;Скважина №4;КГС;МП;4-Уф БС УХЛ1; Манометры, вакуумметры, мановакуумметры, напоромеры, тягомеры и тягонапоромеры;60168-15;726003080A12;2023;0;Па;16;куст 203;24;17.08.2023;Годен; С-ГГИ/17-08-2023/279780119 
куст 203;Скважина №4;КГС;МП;4-У; Манометры избыточного давления, вакуумметры и мановакуумметры показывающие;10135-15;212029209;2022;0;Па;40;куст 203;24;30.11.2022;Годен;С-ГХЮ/30-11-2022/219134028
куст 203;Скважина №4;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0646949;2022;0;Па;40;куст 203;24;26.09.2022;Годен; С-ДЛЮ/26-09-2022/188850808
куст 203;Скважина №4;КГС;МП;4-У; Манометры избыточного давления, вакуумметры и мановакуумметры показывающие;10135-15;212029183;2021;0;Па;40;куст 203;24;30.11.2022;Годен;С-ГХЮ/30-11-2022/219134027
куст 203;Скважина №4;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0642757;2022;0;Па;40;куст 203;24;26.09.2022;Годен;С-ДЛЮ/26-09-2022/188850831
куст 203;Скважина №3;КГС;МП;4-Уф БС УХЛ1; Манометры, вакуумметры, мановакуумметры, напоромеры, тягомеры и тягонапоромеры;60168-15;735417101A14;2023;0;Па;40;куст 203;24;05.07.2023;Годен;С-ГГИ/05-07-2023/260839344
куст 203;Скважина №3;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0647056;2022;0;Па;40;куст 203;24;26.09.2022;Годен;С-ДЛЮ/26-09-2022/188850792
куст 203;Скважина №3;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0643267;2022;0;Па;40;куст 203;24;26.09.2022;Годен; С-ДЛЮ/26-09-2022/188850864 
куст 203;Скважина №3;КГС;МП;4-Уф БС УХЛ1; Манометры, вакуумметры, мановакуумметры, напоромеры, тягомеры и тягонапоромеры;60168-15;2768339;2022;0;Па;40;куст 203;24;05.02.2024;Годен;С-ГГИ/05-02-2024/317813574
куст 203;Скважина №3;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0646989;2022;0;Па;40;куст 203;24;26.09.2022;Годен;С-ДЛЮ/26-09-2022/188850794
куст 203;Скважина №2;КГС;МП;4-Уф БС УХЛ1; Манометры, вакуумметры, мановакуумметры, напоромеры, тягомеры и тягонапоромеры;60168-15;716201016A07;2022;0;Па;25;куст 203;24;30.11.2022;Годен;С-ГХЮ/30-11-2022/219134029
куст 203;Скважина №2;КГС;МП;4-У; Манометры избыточного давления, вакуумметры и мановакуумметры показывающие;10135-15;212009762;2021;0;Па;40;куст 203;24;15.09.2022;Годен; С-ГХЮ/15-09-2022/186965798
куст 203;Скважина №2;КГС;МП;4-Уф БС УХЛ1; Манометры, вакуумметры, мановакуумметры, напоромеры, тягомеры и тягонапоромеры;60168-15;735417134A19;2023;0;Па;40;куст 203;24;05.07.2023;Годен;С-ГГИ/05-07-2023/260839327
куст 203;Скважина №1;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0643235;2022;0;Па;40;куст 203;24;26.09.2022;Годен;С-ДЛЮ/26-09-2022/188850878
куст 202;Коллектор метанола;КГС;МП;4-У;Манометры избыточного давления, вакуумметры и мановакуумметры показывающие;10135-15;212001788;2021;0;Па;40;куст 202;24;14.01.2023;Годен;С-ГХЮ/14-01-2023/222154199
куст 202;Коллектор метанола;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0646952;2021;0;Па;40;куст 202;24;26.09.2022;Годен;С-ДЛЮ/26-09-2022/188850820 
куст 202;Коллектор газа;КГС;МП;4-У;Манометры избыточного давления, вакуумметры и мановакуумметры показывающие;10135-15;212001720;2021;0;Па;25;куст 202;24;14.01.2023;Годен;С-ГХЮ/14-01-2023/222154198
куст 202;Коллектор газа;КГС;МП;4-У;Манометры избыточного давления, вакуумметры и мановакуумметры показывающие;10135-15;212001762;2021;0;Па;40;куст 202;24;14.01.2023;Годен;С-ГХЮ/14-01-2023/222154169
куст 202;Линия факела;КГС;МП;4-У;Манометры избыточного давления, вакуумметры и мановакуумметры показывающие;10135-15;222001384;2022;0;Па;25;куст 202;24;14.01.2023;Годен;С-ГХЮ/14-01-2023/222154195
куст 202;Линия факела;КГС;МП;4-У;Манометры избыточного давления, вакуумметры и мановакуумметры показывающие;10135-15;222001391;2022;0;Па;10;куст 202;24;14.01.2023;Годен;С-ГХЮ/14-01-2023/222154201
куст 202;Линия факела;КГС;МП;3А-Кс; Манометры, вакуумметры и мановакуумметры показывающие;50119-17;211037618;2021;0;Па;400;куст 202;24;14.01.2023;Годен;С-ГХЮ/14-01-2023/222154203
куст 202;Линия факела;КГС;МП;4-У;Манометры избыточного давления, вакуумметры и мановакуумметры показывающие;10135-15;212001824;2021;0;Па;25;куст 202;24;14.01.2023;Годен;С-ГХЮ/14-01-2023/222154204
куст 202;Линия факела;КГС;МП;4-У;Манометры избыточного давления, вакуумметры и мановакуумметры показывающие;10135-15;212001822;2021;0;Па;25;куст 202;24;14.01.2023;Годен; С-ГХЮ/14-01-2023/222154202
куст 202;Скважина №7;КГС;МП;4-Уф БС УХЛ1; Манометры, вакуумметры, мановакуумметры, напоромеры, тягомеры и тягонапоромеры; 60168-15;716201023A16;2022;0;Па;25;куст 202;24;21.06.2023;Годен;С-ГХЮ/21-06-2023/257470250
куст 202;Скважина №7;КГС;ДМ;ДМ8008-Вуф;Манометры, вакуумметры, мановакуумметры, напоромеры, тягомеры и тягонапоромеры;60168-15;A0319964;2021;0;Па;40;куст 202;24;30.11.2022;Годен;С-ГХЮ/30-11-2022/219134015
куст 202;Скважина №7;КГС;МП;4-Уф БС УХЛ1; Манометры, вакуумметры, мановакуумметры, напоромеры, тягомеры и тягонапоромеры; 60168-15;735417288A04;2023;0;Па;40;куст 202;24;07.12.2023;Годен;С-ГГИ/07-12-2023/304099735
куст 202;Скважина №7;КГС;МП;4-Уф БС УХЛ1; Манометры, вакуумметры, мановакуумметры, напоромеры, тягомеры и тягонапоромеры; 60168-15;735417288A03;2023;0;Па;40;куст 202;24;07.12.2023;Годен; С-ГГИ/07-12-2023/304099740
куст 202;Скважина №7;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0643144;2022;0;Па;40;куст 202;24;26.09.2022;Годен;С-ДЛЮ/26-09-2022/188850841
куст 202;Скважина №6;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0643127;2022;0;Па;40;куст 202;24;26.09.2022;Годен;С-ДЛЮ/26-09-2022/188850711
куст 202;Скважина №6;КГС;МП;4-Уф БС УХЛ1; Манометры, вакуумметры, мановакуумметры, напоромеры, тягомеры и тягонапоромеры; 60168-15;212006812;2023;0;Па;40;куст 202;24;23.06.2023;Годен;С-ГХЮ/23-06-2023/257470215
куст 202;Скважина №6;КГС;МП;4-Уф БС УХЛ1; Манометры, вакуумметры, мановакуумметры, напоромеры, тягомеры и тягонапоромеры; 60168-15;2768353;2022;0;Па;25;куст 202;24;02.02.2024;Годен; С-ГГИ/02-02-2024/315500110
куст 202;Скважина №6;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0647030;2022;0;Па;40;куст 202;24;26.09.2022;Годен; С-ДЛЮ/26-09-2022/188850656 
куст 202;Скважина №6;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;H0647028;2022;0;Па;40;куст 202;24;26.09.2022;Годен;С-ДЛЮ/26-09-2022/188850730
куст 202;Скважина №5;КГС;МП;4-Уф БС УХЛ1; Манометры, вакуумметры, мановакуумметры, напоромеры, тягомеры и тягонапоромеры; 60168-15;726209014A16;2023;0;Па;40;куст 202;24;22.06.2023;Годен;С-ГГИ/22-06-2023/256592918
куст 202;Скважина №5;КГС;РОСМА;ТМ6;Манометры показывающие;25913-08;02999815;2022;0;Па;25;куст 202;24;23.09.2022;Годен;С-ДЛЮ/23-09-2022/188581247
куст 202;Скважина №5;КГС;МП;4-У; Манометры избыточного давления, вакуумметры и мановакуумметры показывающие;10135-15;2037431;2022;0;Па;25;куст 202;24;30.11.2022;Годен;С-ГХЮ/30-11-2022/219134016
