position;location;teg;model;type;name;reg_number;serial_number;year;min_scale;max_scale;unit;mpi;previous_verification;result;certificate
ГП301;;;Микросенс М3 (PID);Микросенс; Газоанализаторы портативные;70544-18;044578;2023;0;100;%НКПР;12;29.07.2024;Годен;С-БП/29-07-2024/358615413
ГП301;;;Микросенс М6.L;Микросенс; Газоанализаторы портативные;81893-21;044580;2023;0;100;%НКПР;12;05.08.2024;Не годен; И-АШ/05-08-2024/360201024
ГП301;;;Микросенс М6.L;Микросенс; Газоанализаторы портативные;81893-21;044585;2023;0;100;%НКПР;12;05.08.2024;Не годен; И-АШ/05-08-2024/360201026
ГП301;;;Микросенс М6.L;Микросенс; Газоанализаторы портативные;81893-21;044592;2023;0;100;%НКПР;12;05.08.2024;Не годен; И-АШ/05-08-2024/360201025
ГП301;;;Микросенс М6.L;Микросенс; Газоанализаторы портативные;81893-21;044595;2023;0;100;%НКПР;12;13.07.2023;Годен;С-ЕВП/13-07-2023/263668096
ГП301;;;Микросенс М6.L;Микросенс; Газоанализаторы портативные;81893-21;044596;2023;0;100;%НКПР;12;05.08.2024;Не годен;И-АШ/05-08-2024/360201027 
ГП301;;;Микросенс М6.L;Микросенс; Газоанализаторы портативные;81893-21;044597;2023;0;100;%НКПР;12;13.07.2023;Годен;С-ЕВП/13-07-2023/263668094 
ГП301;;;Микросенс М6.L;Микросенс; Газоанализаторы портативные;81893-21;044598;2023;0;100;%НКПР;12;13.07.2023;Годен;С-ЕВП/13-07-2023/263668093
ГП9;Блок-бокс подготовки газа на собственные нужды (УКПГ-2);;БТ51.211(0-120 °С) М20х1,5.64.1,5;РОСМА;Термометр биметаллический;73393-18;С0154121;2021;0;120;°С;36;16.09.2022;Годен;С-ГХЮ/16-09-2022/187678307
ГП9;Блок-бокс подготовки газа на собственные нужды (УКПГ-2);;БТ51.211(0-120°С) М20х1,5.100.1,5;РОСМА;Термометр биметаллический;73393-18;С0151952;2021;0;120;°С;36;16.09.2022;Годен; С-ГХЮ/16-09-2022/187678306
БКТП;;;;ТС, ТСН, ТСМ, ТСВ;Трансформаторы тока ;26100-03;КО286;2021;40;5000;А;48;26.10.2022;Годен;С-БП/26-10-2022/196912059
БКТП;;;;ТС, ТСН, ТСМ, ТСВ;Трансформаторы тока ;26100-03;КО274;2021;40;5000;А;48;26.10.2022;Годен;С-БП/26-10-2022/196912057
БКТП;;;;ТС, ТСН, ТСМ, ТСВ;Трансформаторы тока ;26100-03;КО265;2021;40;5000;А;48;26.10.2022;Годен;С-БП/26-10-2022/196912058
ГП30;Теплопункт;б/н;БТ3;РОСМА;Термометр биметаллический;73393-18;В0092966;2021;-30;50;°С;36;18.02.2023;Годен;С-БПМ/24-09-2021/97294244
ГП52;Котельная;б/н;БТ51.211(0-120°С) G1/2.46.1,5;РОСМА;Термометр биметаллический ;73393-18;В0052796   ;2021;0;120;°С;36;17.11.2021;Годен;С-ДЛЮ/17-11-2021/109925506
ГП52;Котельная;б/н;БТ51.211(0-120°С) G1/2.46.1,5;РОСМА;Термометр биметаллический ;73393-18;В0052612;2021;0;120;°С;36;21.09.2022;Годен;С-БП/21-09-2022/188543433
ГП30;Теплопункт;б/н;БТ4;РОСМА;Термометр биметаллический;73393-18;В0043188;2021;0;100;°С;36;09.02.2023;Годен;С-БПМ/24-09-2021/97294245
ГП30;Теплопункт;б/н;БТ4;РОСМА;Термометр биметаллический;73393-18;В0043070;2021;0;100;°С;36;18.02.2023;Годен;С-БПМ/24-09-2021/97294250
ГП30;Теплопункт;б/н;БТ4;РОСМА;Термометр биметаллический;73393-18;В0042458;2021;0;100;°С;36;09.02.2023;Годен;С-БПМ/24-09-2021/97294251
ГП30;Теплопункт;б/н;БТ4;РОСМА;Термометр биметаллический;73393-18;В0042454;2021;0;100;°С;36;09.02.2023;Годен;С-БПМ/24-09-2021/97294239
ГП9;Блок-бокс подготовки газа на собственные нужды (УКПГ-2);Т8.3-3;БТ51.211 (0…+250 °С) М20х1,5.150.1,5;РОСМА;Термометр биметаллический;73393-18;В0015467;2021;0;250;°С;36;23.11.2021;Годен; С-ДЛЮ/23-11-2021/111688424
ГП9;Блок-бокс подготовки газа на собственные нужды (УКПГ-2);Т8.3-1;БТ51.211 (0…+250 °С) М20х1,5.150.1,5;РОСМА;Термометр биметаллический;73393-18;В0015261;2021;0;250;°С;36;16.09.2022;Годен;С-ГХЮ/16-09-2022/187678311
ГП9;Блок-бокс подготовки газа на собственные нужды (УКПГ-2);Т8.3-2;БТ51.211 (0…+250 °С) М20х1,5.150.1,5;РОСМА;Термометр биметаллический;73393-18;В0015251;2021;0;250;°С;36;23.11.2021;Годен;С-ДЛЮ/23-11-2021/111688419
ГП52;Котельная;б/н;БТ51.211(0-120°С) G1/2.46.1,5;РОСМА;Термометр биметаллический ;73393-18;В0006819;2021;0;120;°С;36;17.11.2021;Годен;С-ДЛЮ/17-11-2021/109925444
ГП52;Котельная;б/н;БТ51.211(0-120°С) G1/2.46.1,5;РОСМА;Термометр биметаллический ;73393-18;В0006791;2021;0;120;°С;36;12.03.2023;Годен;С-ГХЮ/12-03-2023/231661840
ГП52;Котельная;б/н;БТ51.211(0-120°С) G1/2.46.1,5;РОСМА;Термометр биметаллический ;73393-18;В0006077;2021;0;120;°С;36;17.11.2021;Годен;С-ДЛЮ/17-11-2021/109925480
ГП52;Котельная;б/н;БТ51.211(0-120°С) G1/2.46.1,5;РОСМА;Термометр биметаллический ;73393-18;В0005188;2021;0;120;°С;36;17.11.2021;Годен;С-ДЛЮ/17-11-2021/109925485
ГП304;;;;СДВ-И; Преобразователи давления измерительные;28313-11;А728098;2021;0;1,6;Па;60;04.06.2021;Годен;С-ДУС/04-06-2021/69534706
ГП304;;;;СДВ-И; Преобразователи давления измерительные;28313-11;А728097;2021;0;1,6;Па;60;04.06.2021;Годен;С-ДУС/04-06-2021/69534707
ГП32;Блок насосов орошения 30Н-2/2;PDT 22.1;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления;66959-17;Y2X800140;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853093 
ГП32;Блок насосов орошения 30Н-2/1;PDT 22.2;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления;66959-17;Y2X800138;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853095
ГП32;Блок насосов орошения 30Н-2/2;PT 22.2;JCS9N-014EL/GS21/VR/БКН2-19/Кв28/EP РФ;EJA530E;Преобразователь давления измерительный;66959-17;Y2X800137;2021;0;1,6;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853096 
ГП32;Блок насосов орошения 30Н-2/1;PDT 22.1;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления;66959-17;Y2X800136;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853097 
ГП32;Блок насосов орошения 30Н-2/3;PDT 22.1;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления;66959-17;Y2X800135;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853098 
ГП32;Блок насосов циркулирующей жидкости УСК 30Н-1/3;PDT 21.1;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления;66959-17;Y2X800134;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853099 
ГП32;Блок насосов циркулирующей жидкости УСК 30Н-1/1;PDT 21.3;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления;66959-17;Y2X800133;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853100
ГП32;Блок насосов циркулирующей жидкости УСК 30Н-1/3;PDT 21.3;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления;66959-17;Y2X800132;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853101 
ГП32;Блок насосов циркулирующей жидкости УСК 30Н-1/2;PDT 21.3;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления;66959-17;Y2X800131;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853102 
ГП32;Блок насосов циркулирующей жидкости УСК 30Н-1/1;PT 21.2;JCS9N-014EL/GS21/VR/БКН2-19/Кв28/EP РФ;EJA530E;Преобразователь давления измерительный;66959-17;Y2X800130;2021;0;1,6;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853103 
ГП32;Блок насосов циркулирующей жидкости УСК 30Н-1/2;PDT 21.2;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления;66959-17;Y2X800129;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853104 
ГП32;Блок насосов циркулирующей жидкости УСК 30Н-1/3;PT 21.2;JCS9N-014EL/GS21/VR/БКН2-19/Кв28/EP РФ;EJA530E;Преобразователь давления измерительный;66959-17;Y2X800128;2021;0;6;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853105
ГП32;Блок насосов циркулирующей жидкости УСК 30Н-1/1;PDT 21.1;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления;66959-17;Y2X800127;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853106
ГП32;Блок насосов циркулирующей жидкости УСК 30Н-1/2;PDT 21.1;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления;66959-17;Y2X800126;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853801 
